node,layer,original_score,new_score,diff(new-origin)
anon_S1409E,0,631.0,631.0,0.0
anon_S2252E,1,606.0,695.0,89.0
anon_S5680E,2,555.0,609.0,54.0
anon_S5913E,0,600.0,600.0,0.0
anon_S2238E,1,624.0,617.0,-7.0
anon_S3614E,1,390.0,783.81,393.81
anon_S422E,0,662.0,662.0,0.0
anon_S1780E,2,659.0,878.4,219.4
anon_S4367E,0,596.0,596.0,0.0
anon_S733E,0,407.0,407.0,0.0
anon_S1322E,0,-1,-1,na
anon_S5212E,2,553.0,581.0,28.0
anon_S2618E,1,724.0,652.0,-72.0
anon_S5935E,0,627.0,627.0,0.0
anon_S418E,0,546.0,546.0,0.0
anon_S2723E,2,713.0,667.28,-45.72
anon_S2320E,2,729.0,669.89,-59.11
anon_S1043E,0,577.0,577.0,0.0
anon_S1420E,0,589.0,589.0,0.0
anon_S2698E,2,587.0,808.34,221.34
anon_S1836E,1,740.0,783.81,43.81
anon_S6038E,0,-1,-1,na
anon_S4349E,0,547.0,547.0,0.0
anon_S3291E,2,523.0,921.34,398.34
anon_S1918E,1,733.0,761.0,28.0
anon_S5254E,2,646.0,635.0,-11.0
anon_S5183E,1,531.0,768.0,237.0
anon_S5329E,0,520.0,520.0,0.0
anon_S2942E,3,-1,677.0,na
anon_S1936E,2,532.0,970.61,438.61
anon_S3353E,1,548.0,617.0,69.0
anon_S1552E,2,522.0,1047.85,525.85
anon_S2636E,1,531.0,588.0,57.0
anon_S2233E,2,484.0,649.0,165.0
anon_S1858E,3,677.0,811.35,134.35
anon_S1765E,4,561.0,1486.71,925.71
anon_S1651E,2,496.0,649.0,153.0
anon_S4595E,0,549.0,549.0,0.0
anon_S1638E,0,559.0,559.0,0.0
anon_S1405E,0,-1,-1,na
anon_S3848E,1,763.0,565.0,-198.0
anon_S4152E,0,466.0,466.0,0.0
anon_S4675E,0,616.0,616.0,0.0
anon_S5632E,2,576.0,1045.73,469.73
anon_S5214E,9,-1,718.0,na
anon_S2895E,3,-1,734.57,na
anon_S3262E,0,474.0,474.0,0.0
anon_S4755E,4,604.0,1024.93,420.93
anon_S4700E,4,797.0,1024.93,227.93
anon_S5249E,2,673.0,943.47,270.47
anon_S352E,0,533.0,533.0,0.0
anon_S1711E,1,568.0,812.0,244.0
anon_S3454E,2,542.0,993.21,451.21
anon_S3084E,1,657.0,711.0,54.0
anon_S2132E,1,-1,650.0,na
anon_S5347E,2,646.0,943.47,297.47
anon_S6058E,2,709.0,992.38,283.38
anon_S1998E,3,670.0,677.0,7.0
anon_S1227E,0,399.0,399.0,0.0
anon_S1031E,0,657.0,657.0,0.0
anon_S5040E,9,497.0,734.0,237.0
anon_S3339E,3,488.0,677.0,189.0
anon_S3866E,2,492.0,770.71,278.71
anon_S2913E,4,602.0,994.61,392.61
anon_S3736E,2,-1,624.0,na
anon_S2551E,1,499.0,711.0,212.0
anon_S1703E,2,587.0,649.0,62.0
anon_S4155E,0,704.0,704.0,0.0
anon_S3139E,2,588.0,721.0,133.0
anon_S5291E,0,544.0,544.0,0.0
anon_S3182E,1,578.0,650.0,72.0
anon_S3066E,2,-1,808.34,na
anon_S3975E,2,639.0,596.0,-43.0
anon_S1060E,0,601.0,601.0,0.0
anon_S1589E,2,683.0,915.61,232.61
anon_S812E,0,640.0,640.0,0.0
anon_S2049E,2,555.0,987.34,432.34
anon_S1308E,0,652.0,652.0,0.0
anon_S3514E,1,641.0,812.0,171.0
anon_S3563E,0,610.0,610.0,0.0
anon_S24E,0,681.0,681.0,0.0
anon_S1738E,0,-1,-1,na
anon_S5757E,2,-1,609.0,na
anon_S1349E,0,-1,-1,na
anon_S520E,0,651.0,651.0,0.0
anon_S3481E,2,532.0,993.21,461.21
anon_S3928E,2,-1,855.91,na
anon_S4252E,2,-1,996.05,na
anon_S4023E,2,522.0,596.0,74.0
anon_S178E,5,586.0,1157.71,571.71
anon_S2844E,1,743.0,711.0,-32.0
anon_S433E,0,-1,-1,na
anon_S3662E,9,550.0,760.0,210.0
anon_S4380E,0,-1,-1,na
anon_S3585E,3,-1,677.0,na
anon_S752E,0,-1,-1,na
anon_S6119E,0,535.0,535.0,0.0
anon_S5487E,0,590.0,590.0,0.0
anon_S332E,0,653.0,653.0,0.0
anon_S3153E,1,-1,650.0,na
anon_S1013E,0,626.0,626.0,0.0
anon_S1594E,2,522.0,594.0,72.0
anon_S1468E,1,581.0,812.0,231.0
anon_S843E,0,616.0,616.0,0.0
anon_S3644E,2,657.0,862.51,205.51
anon_S1414E,0,629.0,629.0,0.0
anon_S4034E,2,675.0,596.0,-79.0
anon_S1340E,0,536.0,536.0,0.0
anon_S1441E,0,-1,-1,na
anon_S1380E,0,-1,-1,na
anon_S2791E,1,648.0,681.0,33.0
anon_S2493E,1,550.0,632.0,82.0
anon_S1315E,0,626.0,626.0,0.0
anon_S4817E,0,-1,-1,na
anon_S2027E,1,537.0,623.0,86.0
anon_S1509E,2,464.0,894.1,430.1
anon_S1811E,5,685.0,1298.3,613.3
anon_S224E,1,656.0,596.0,-60.0
anon_S249E,0,487.0,487.0,0.0
anon_S1660E,1,-1,681.0,na
anon_S4478E,2,-1,921.34,na
anon_S5965E,0,599.0,599.0,0.0
anon_S1251E,0,-1,-1,na
anon_S1204E,2,552.0,843.58,291.58
anon_S2777E,1,532.0,664.0,132.0
anon_S3923E,3,510.0,677.0,167.0
anon_S1880E,1,528.0,709.0,181.0
anon_S1877E,5,615.0,620.0,5.0
anon_S6104E,0,639.0,639.0,0.0
anon_S778E,0,626.0,626.0,0.0
anon_S5162E,0,597.0,597.0,0.0
anon_S5133E,7,-1,620.0,na
anon_S3784E,1,559.0,632.0,73.0
anon_S81E,3,774.0,683.4,-90.6
anon_S1126E,0,496.0,496.0,0.0
anon_S1681E,2,728.0,1027.84,299.84
anon_S1435E,0,-1,-1,na
anon_S4097E,1,675.0,626.0,-49.0
anon_S1964E,1,549.0,636.0,87.0
anon_S1755E,7,509.0,1065.95,556.95
anon_S3325E,0,460.0,460.0,0.0
anon_S3728E,1,-1,696.0,na
anon_S3370E,3,663.0,1708.38,1045.38
anon_S4656E,2,530.0,591.0,61.0
anon_S1364E,0,570.0,570.0,0.0
anon_S1339E,0,667.0,667.0,0.0
anon_S200E,2,731.0,1105.78,374.78
anon_S5464E,2,495.0,623.0,128.0
anon_S2642E,1,693.0,565.0,-128.0
anon_S3448E,1,570.0,812.0,242.0
anon_S5774E,2,575.0,609.0,34.0
anon_S5796E,2,530.0,662.0,132.0
anon_S3717E,1,610.0,696.0,86.0
anon_S2151E,2,712.0,873.01,161.01
anon_S2886E,3,-1,677.0,na
anon_S214E,0,623.0,623.0,0.0
anon_S5583E,3,594.0,1279.74,685.74
anon_S1763E,5,681.0,620.0,-61.0
anon_S2679E,2,673.0,667.28,-5.72
anon_S3047E,2,493.0,921.34,428.34
anon_S627E,0,690.0,690.0,0.0
anon_S3473E,1,546.0,601.0,55.0
anon_S643E,0,498.0,498.0,0.0
anon_S120E,0,-1,-1,na
anon_S833E,0,507.0,507.0,0.0
anon_S5823E,5,553.0,1191.75,638.75
anon_S2332E,1,541.0,647.0,106.0
anon_S38E,1,740.0,764.18,24.18
anon_S5021E,0,-1,-1,na
anon_S3883E,4,600.0,994.61,394.61
anon_S3387E,1,521.0,593.0,72.0
anon_S3782E,1,501.0,636.0,135.0
anon_S1794E,4,582.0,440.0,-142.0
anon_S4404E,2,590.0,671.0,81.0
anon_S6126E,0,-1,-1,na
anon_S3528E,0,577.0,577.0,0.0
anon_S65E,6,492.0,1157.71,665.71
anon_S4391E,0,481.0,481.0,0.0
anon_S649E,0,605.0,605.0,0.0
anon_S3415E,1,442.0,608.0,166.0
anon_S4669E,0,585.0,585.0,0.0
anon_S5656E,0,638.0,638.0,0.0
anon_S1144E,0,-1,-1,na
anon_S2521E,3,524.0,1105.78,581.78
anon_S656E,0,592.0,592.0,0.0
anon_S4299E,1,631.0,601.0,-30.0
anon_S1302E,0,499.0,499.0,0.0
anon_S4761E,2,576.0,935.5,359.5
anon_S2305E,2,583.0,987.34,404.34
anon_S1433E,0,-1,-1,na
anon_S2128E,1,651.0,761.0,110.0
anon_S6E,1,643.0,378.0,-265.0
anon_S5357E,0,-1,-1,na
anon_S884E,0,736.0,736.0,0.0
anon_S859E,0,624.0,624.0,0.0
anon_S1109E,0,-1,-1,na
anon_S4487E,2,452.0,808.34,356.34
anon_S1691E,2,546.0,993.21,447.21
anon_S4059E,1,565.0,565.0,0.0
anon_S5227E,0,509.0,509.0,0.0
anon_S2403E,1,443.0,681.0,238.0
anon_S2006E,1,629.0,723.0,94.0
anon_S4519E,0,491.0,491.0,0.0
anon_S4175E,0,499.0,499.0,0.0
anon_S2827E,2,454.0,808.34,354.34
anon_S6088E,2,660.0,943.47,283.47
anon_S3170E,2,519.0,873.01,354.01
anon_S942E,0,640.0,640.0,0.0
anon_S3546E,0,583.0,583.0,0.0
anon_S1172E,0,451.0,451.0,0.0
anon_S1189E,0,667.0,667.0,0.0
anon_S4916E,9,522.0,1312.05,790.05
anon_S5468E,9,524.0,1238.67,714.67
anon_S6074E,5,824.0,1150.12,326.12
anon_S3176E,1,564.0,610.0,46.0
anon_S5948E,0,535.0,535.0,0.0
anon_S2341E,2,583.0,649.0,66.0
anon_S1782E,3,507.0,1305.6,798.6
anon_S4361E,0,555.0,555.0,0.0
anon_S2930E,2,421.0,996.05,575.05
anon_S2616E,1,470.0,744.0,274.0
anon_S5533E,0,480.0,480.0,0.0
anon_S2268E,5,597.0,620.0,23.0
anon_S500E,1,724.0,894.1,170.1
anon_S3616E,2,653.0,996.05,343.05
anon_S5882E,0,549.0,549.0,0.0
anon_S4406E,2,611.0,808.34,197.34
anon_S2721E,1,580.0,593.0,13.0
anon_S2326E,1,710.0,677.0,-33.0
anon_S2990E,1,-1,602.0,na
anon_S1713E,1,543.0,695.0,152.0
anon_S4561E,0,-1,-1,na
anon_S5933E,0,572.0,572.0,0.0
anon_S1834E,1,638.0,713.0,75.0
anon_S4347E,0,607.0,607.0,0.0
anon_S2068E,1,529.0,695.0,166.0
anon_S3293E,2,-1,878.4,na
anon_S3242E,2,573.0,987.34,414.34
anon_S3239E,1,612.0,711.0,99.0
anon_S4196E,3,575.0,677.0,102.0
anon_S4056E,1,520.0,860.96,340.96
anon_S144E,0,678.0,678.0,0.0
anon_S4011E,1,625.0,647.0,22.0
anon_S5181E,1,586.0,687.0,101.0
anon_S5327E,0,568.0,568.0,0.0
anon_S1041E,0,-1,-1,na
anon_S980E,0,779.0,779.0,0.0
anon_S1694E,0,519.0,519.0,0.0
anon_S731E,0,647.0,647.0,0.0
anon_S764E,2,728.0,996.05,268.05
anon_S1934E,1,551.0,608.0,57.0
anon_S1943E,2,686.0,993.21,307.21
anon_S315E,2,596.0,1142.84,546.84
anon_S2388E,5,505.0,620.0,115.0
anon_S1554E,1,670.0,626.0,-44.0
anon_S2630E,2,594.0,808.34,214.34
anon_S5515E,0,530.0,530.0,0.0
anon_S5708E,1,606.0,712.0,106.0
anon_S5268E,2,525.0,485.0,-40.0
anon_S4150E,0,599.0,599.0,0.0
anon_S4673E,0,567.0,567.0,0.0
anon_S3264E,1,604.0,705.0,101.0
anon_S1325E,0,503.0,503.0,0.0
anon_S1601E,3,613.0,677.0,64.0
anon_S5788E,2,531.0,563.24,32.24
anon_S5341E,0,591.0,591.0,0.0
anon_S1270E,0,-1,-1,na
